shape,convex,x_raw,algorithm,parameter,dist_euclidean,dist_horizontal
B,concave,32,alpha_shape,0.2,25.30316186,32.5
B,concave,32,alpha_shape,0.3,25.30316186,32.5
B,concave,32,alpha_shape,0.6,25.30316186,32.5
B,concave,32,alpha_shape,1,25.30316186,32.5
B,concave,45,alpha_shape,0.01,34.85229508,34.5
B,concave,45,alpha_shape,0.02,35.30890759,34.5
B,concave,45,alpha_shape,0.03,36.31186705,36.5
B,concave,45,alpha_shape,0.04,36.79073523,37.5
B,concave,45,alpha_shape,0.045,37.03508826,37.5
B,concave,45,alpha_shape,0.047,37.12310601,38.5
B,concave,45,alpha_shape,0.049,37.12310601,38.5
B,concave,45,alpha_shape,0.05,37.12310601,38.5
B,concave,45,alpha_shape,0.051,37.12310601,38.5
B,concave,45,alpha_shape,0.053,37.12310601,38.5
B,concave,45,alpha_shape,0.055,37.12310601,38.5
B,concave,45,alpha_shape,0.06,37.16517187,39.5
B,concave,45,alpha_shape,0.1,37.16517187,45.5
B,concave,45,alpha_shape,0.2,37.16517187,45.5
B,concave,45,alpha_shape,0.3,37.16517187,45.5
B,concave,45,alpha_shape,0.6,37.16517187,45.5
B,concave,45,alpha_shape,1,37.16517187,45.5
B,concave,64,alpha_shape,0.01,53.85101074,53.5
B,concave,64,alpha_shape,0.02,54.30266478,53.5
B,concave,64,alpha_shape,0.03,55.15564652,55.5
B,concave,64,alpha_shape,0.04,55.40838966,56.5
B,concave,64,alpha_shape,0.045,55.42788107,56.5
B,concave,64,alpha_shape,0.047,55.42788107,57.5
B,concave,64,alpha_shape,0.049,55.42788107,57.5
B,concave,64,alpha_shape,0.05,55.42788107,57.5
B,concave,64,alpha_shape,0.051,55.42788107,57.5
B,concave,64,alpha_shape,0.053,55.42788107,57.5
B,concave,64,alpha_shape,0.055,55.42788107,57.5
B,concave,64,alpha_shape,0.06,55.42788107,58.5
B,concave,64,alpha_shape,0.1,55.42788107,64.5
B,concave,64,alpha_shape,0.2,55.42788107,64.5
B,concave,64,alpha_shape,0.3,55.42788107,64.5
