shape,changeType,blockNum,trialID,response,confidence,rt,experimentVersion,correctAnswer,fullShapeName,responded_correctly,analysisChangeType,subject
shape2,convex_area1,7,65,different,9,1035.3,control,different,shape2_convex_area1,1,convex,3
shape3,concave_nofill_area1,7,66,different,6,1391.1,control,different,shape3_concave_nofill_area1,1,concave_nofill,3
catch_shape,no_change6,7,67,same,9,1028.1,control,same,catch_shape_no_change6,1,none,3
shape5,convex_area2,7,68,different,9,1352.9,control,different,shape5_convex_area2,1,convex,3
shape6,no_change3,7,69,same,9,1702.1,control,same,shape6_no_change3,1,none,3
shape7,no_change2,7,70,same,9,893.5,control,same,shape7_no_change2,1,none,3
shape4,concave_nofill_area1,7,71,different,9,1355.5,control,different,shape4_concave_nofill_area1,1,concave_nofill,3
shape4,no_change3,8,72,same,9,785.9,control,same,shape4_no_change3,1,none,3
shape7,concave_nofill_area2,8,73,different,9,1066.4,control,different,shape7_concave_nofill_area2,1,concave_nofill,3
shape8,concave_nofill_area1,8,74,different,9,1337.2,control,different,shape8_concave_nofill_area1,1,concave_nofill,3
catch_shape,change4,8,75,different,9,1180.9,control,different,catch_shape_change4,1,none,3
shape5,convex_area1,8,76,different,9,1104.3,control,different,shape5_convex_area1,1,convex,3
shape1,convex_area2,8,77,different,9,1250.5,control,different,shape1_convex_area2,1,convex,3
shape6,concave_nofill_area2,8,78,different,9,1093.6,control,different,shape6_concave_nofill_area2,1,concave_nofill,3
shape3,convex_area1,8,79,different,6,1296.6,control,different,shape3_convex_area1,1,convex,3
shape2,no_change3,8,80,same,9,1034.5,control,same,shape2_no_change3,1,none,3
shape8,concave_area1,9,81,different,9,1139.6,control,different,shape8_concave_area1,1,concave,3
shape7,no_change3,9,82,same,9,866.9,control,same,shape7_no_change3,1,none,3
catch_shape,no_change2,9,83,same,9,1438.5,control,same,catch_shape_no_change2,1,none,3
shape5,no_change1,9,84,different,4,1383.4,control,same,shape5_no_change1,0,none,3
shape4,no_change2,9,85,same,9,1397.8,control,same,shape4_no_change2,1,none,3
shape1,convex_area1,9,86,different,9,1184.3,control,different,shape1_convex_area1,1,convex,3
shape2,convex_area2,9,87,different,9,872.5,control,different,shape2_convex_area2,1,convex,3
shape3,concave_area2,9,88,different,5,1222.4,control,different,shape3_concave_area2,1,concave,3
shape6,concave_nofill_area1,9,89,different,9,1064.7,control,different,shape6_concave_nofill_area1,1,concave_nofill,3
shape8,concave_nofill_area2,10,90,different,9,1021,control,different,shape8_concave_nofill_area2,1,concave_nofill,3
